seed,year,baseline,saving_total_eur,saving_electricity_eur,saving_carbon_eur,carbon_fraction_of_saving,saving_pct,delivered_mass_delta_pct,co2_saving_t,saving_per_kg_pct,co2_intensity_saving_pct
0,2021,lagged,13287337.114320517,-13714.17126303818,13301051.285583556,1.0010321233776975,3.899570804963369,-3.856529779469499,166263.141069795,0.04476749736113117,0.057519218404267214
0,2022,lagged,-1169836.8125472069,-20818.774798460305,-1149018.037748754,0.9822036932201492,-0.3448749885587924,0.37498465113203805,-14362.725471859798,0.029997177760876514,0.03419520369364326
0,2023,lagged,6807773.76961267,-23820.402635939652,6831594.172248602,1.0034990003255186,2.029614788642918,-1.9818558134992939,85394.92715310818,0.048724626996354825,0.06147717074972414
0,2024,lagged,9925648.622217178,-49692.260274404194,9975340.882491529,1.0050064496705153,3.0164468111368885,-2.9887149617764837,124691.76103114383,0.028586209686287667,0.050659592457069635
0,2025,lagged,12963326.298416793,-10649.60067292396,12973975.899089694,1.000821517597239,3.9299129448948977,-3.893402979299671,162174.69873862155,0.03798903168672485,0.049327952361855054
1,2021,lagged,18630638.346175194,10917.311872787308,18619721.034302354,0.999414012999985,5.4746127988783355,-5.432296110178787,232746.51292877924,0.04474750571173969,0.05365700944014451
1,2022,lagged,1982340.2371272445,-57200.655224397546,2039540.892351687,1.0288551148552258,0.5851336059401531,-0.5735911816261829,25494.26115439646,0.01160901258643321,0.032063176495022994
1,2023,lagged,6339132.629602671,-83447.32768668863,6422579.9572892785,1.013163840001852,1.891182490925353,-1.8673597991123012,80282.24946611654,0.02427601230771126,0.054769748645799865
1,2024,lagged,12431492.050423503,-20494.28962022299,12451986.340043724,1.0016485784278422,3.779037610519375,-3.751195150479759,155649.82925054617,0.028927590408167614,0.04362219230890085
1,2025,lagged,9262013.368716657,-28414.433472864795,9290427.802189529,1.0030678463031424,2.8076255641261225,-2.786390438092843,116130.34752736939,0.02184377900272816,0.03641854765256136
7,2021,lagged,21678653.458289504,1694.5517173677217,21676958.906572163,0.9999218331654869,6.367878787058888,-6.340984359655271,270961.98633215204,0.0287152573831162,0.04264487053223798
7,2022,lagged,841204.3249918222,-36060.957042582566,877265.2820343971,1.0428682496882378,0.24821081831492944,-0.23266855478576778,10965.816025428474,0.015578509822833375,0.027729790623920447
7,2023,lagged,1507340.390658319,-70502.14162551751,1577842.5322838426,1.0467725419304477,0.44952391324458735,-0.4249997022143342,19723.031653548125,0.024628883712685123,0.046992333503648176
7,2024,lagged,5036546.042524099,-89761.3983522231,5126307.4408762455,1.0178220148479298,1.5319287175840768,-1.4959173568162178,64078.84301095363,0.036558241853079654,0.06761447162525469
7,2025,lagged,11528643.39978695,-15638.069071436534,11544281.468858361,1.0013564535330932,3.4970742928636507,-3.4629940872761567,144303.51836073026,0.03530273729258626,0.0473399320507939
13,2021,lagged,6310697.821253121,-36796.0536986005,6347493.87495172,1.0058307424536599,1.8525097838194977,-1.8229886889387852,79343.67343689594,0.030069253979614352,0.04512224834214429
13,2022,lagged,1358852.0665551424,-62045.32860439224,1420897.3951595426,1.0456601054165466,0.4006995984348414,-0.38783401082250574,17761.217439495027,0.012915679008262959,0.03368639446817978
13,2023,lagged,8084740.353762269,-42846.2805631978,8127586.634325504,1.0052996483113148,2.4120709719251083,-2.373488580385132,101594.83292906871,0.03952040381136612,0.059152487895175465
13,2024,lagged,17514613.103836715,-36048.06658258627,17550661.170419395,1.0020581708753122,5.315605794585839,-5.250285104214689,219383.26463024225,0.06894025005035331,0.0922584823634609
13,2025,lagged,7377814.3780866265,-60306.9917902702,7438121.369876862,1.0081740999027242,2.2367045714780938,-2.206458540926988,92976.51712346077,0.030928454067447042,0.05413286068354228
19,2021,lagged,15584759.929051459,-55488.350335753756,15640248.279387236,1.0035604238107216,4.574677123166159,-4.546093771973411,195503.10349234194,0.02994466368351212,0.05712786116065516
19,2022,lagged,11147370.26832205,23715.64480750356,11123654.623514533,0.9978725345766157,3.284892290176146,-3.2412916997242056,139045.68279393204,0.04506115389286691,0.05715545962162727
19,2023,lagged,-938318.2169127464,-75361.65819577314,-862956.5587169528,0.9196843279418059,-0.28032208131023856,0.3077722009285573,-10786.95698396163,0.02736589500097475,0.04913388801217611
19,2024,lagged,6213832.095367432,-43205.18235286488,6257037.277720332,1.006953065626783,1.8930551635467112,-1.8620939031167565,78212.96597150294,0.03154872735861014,0.04902980438534765
19,2025,lagged,13214424.675617874,-41213.296669692616,13255637.972287595,1.0031188112749065,4.005413182231295,-3.982433569680496,165695.47465359513,0.023932717111163626,0.04522534947852819
23,2021,lagged,26507123.485146284,-3609.57683649892,26510733.06198275,1.0001361738416652,7.779593292781641,-7.725734322117323,331384.16327478364,0.058368354674664946,0.07720856480931682
23,2022,lagged,4947088.988973379,-37257.92525553284,4984346.914228916,1.007531282606515,1.457629365266908,-1.4150820879839625,62304.33642786089,0.043157998387655105,0.06280749519573803
23,2023,lagged,9657484.03527093,-43891.21351690497,9701375.24878782,1.004544787582003,2.883444625015003,-2.851397585079719,121267.19060984859,0.03298764896114692,0.05436226031642066
23,2024,lagged,5741696.083853185,-30000.705902825575,5771696.78975606,1.005225059889053,1.7470389061331497,-1.7313758796408638,72146.20987195102,0.01593899032624746,0.028997215083914618
23,2025,lagged,13375402.658654451,-55120.376927318284,13430523.035581768,1.004121025612014,4.056647116877103,-4.024657739642709,167881.53794477135,0.033330829024413866,0.05900161823457761
31,2021,lagged,5853742.981472671,-50819.25443625136,5904562.235908866,1.0086814973935547,1.7190265916956942,-1.6803512119202038,73807.02794886148,0.03933636892747838,0.058241962496741184
31,2022,lagged,94694.19775944948,-43779.90826163767,138474.10602092743,1.4623293643892683,0.027906203711629402,0.0028334765813160553,1730.9263252625242,0.030738809315977722,0.04387276687960462
31,2023,lagged,-3222543.9037259817,-91955.49599092384,-3130588.4077350497,0.9714649361690275,-0.9604814374188324,0.9910212521648811,-39132.35509668756,0.030240128644498654,0.05496090118067842
31,2024,lagged,11545421.642562151,-54568.339690050925,11599989.98225218,1.0047264050962732,3.5044771500774425,-3.454729044190822,144999.8747781515,0.051528267924583204,0.0762341149404322
31,2025,lagged,15811901.132404208,1316.2527667969698,15810584.87963742,0.9999167555655853,4.795984949242284,-4.75620345443947,197632.31099546794,0.04176806915061615,0.051284513408744736
37,2021,lagged,17570729.45653212,4637.755868282635,17566091.700663805,0.9997360521724616,5.15584511183964,-5.1341728954110035,219576.14625829738,0.022845124625048285,0.03287559349823832
37,2022,lagged,-41450.555433511734,-41554.12487835507,103.569444835186,-0.0024986262247152593,-0.012218718261160121,0.03684702814546073,1.2946180617436767,0.02461923842658198,0.03686414810438743
37,2023,lagged,6405654.675285339,-29002.680044563254,6434657.355329871,1.0045276683672055,1.9113030125362969,-1.8896872438963959,80433.21694162441,0.022032106546876484,0.03602670874349734
37,2024,lagged,2938668.2843159437,-67547.25877375086,3006215.5430897474,1.022985669779169,0.8928712233659675,-0.8773824635152092,37577.69428862119,0.015625858392065428,0.03826354101355012
37,2025,lagged,8241130.920286,-13649.919170889887,8254780.839456856,1.0016563162632517,2.4997901416733237,-2.4816469837216726,103184.76049321145,0.018604865023330586,0.027893839139059295
42,2021,lagged,6754413.8583320975,-40097.57274044969,6794511.431072593,1.0059364992405717,1.982616282727243,-1.9521536034800788,84931.39288840676,0.031069197709832075,0.04736591791201228
42,2022,lagged,-1472692.7145389318,-21647.286629599985,-1451045.4279093742,0.9853008802068156,-0.4338049186781313,0.4528882844081756,-18138.067848866805,0.01899732905240592,0.022926426706948444
42,2023,lagged,7077674.287678242,-28799.45810073684,7106473.745778918,1.0040690567169521,2.1109465133176255,-2.057297498177591,88830.92182223685,0.0547759187459973,0.06931321568937054
42,2024,lagged,-1990960.1379259825,-73172.2124056801,-1917787.9255203605,0.9632477762805203,-0.6049283738269491,0.6289521913801265,-23972.349069004413,0.02387366362266441,0.0447671538394645
42,2025,lagged,9210857.683770418,-45511.68738846702,9256369.371158898,1.0049410911503573,2.7934869796225787,-2.7546856746186275,115704.6171394866,0.03990043661550313,0.059801256414226955
53,2021,lagged,23391743.64742458,-2447.058142788359,23394190.7055673,1.000104612045156,6.859988425066506,-6.82280032720565,292427.38381959125,0.03991115636813314,0.05623128301209812
53,2022,lagged,12568468.707670748,10660.315904980991,12557808.391765773,0.9991518206272441,3.706633548899886,-3.6733324988249967,156972.60489707114,0.0345709562458274,0.05336088860682375
53,2023,lagged,4791554.894135594,-114829.38927970128,4906384.283415318,1.0239649533015396,1.428552780030619,-1.403175193177838,61329.80354269175,0.02573874655954489,0.0643447292983268
53,2024,lagged,14175566.134674728,-4816.913645615685,14180383.048320353,1.0003398039697224,4.305849921507033,-4.26448855984334,177254.7881040047,0.0432037820046971,0.05419377037889639
53,2025,lagged,15249752.529776871,-24434.638938933378,15274187.168715775,1.0016022974072,4.6211354304223695,-4.585827076305512,190927.33960894728,0.0370053557400607,0.05424693106804712
